"代號","名稱","成交","最高","最低","漲跌價","漲跌幅","更新日期","3個月最高股價(元)","現距3個月高點跌幅","3個月最低股價(元)","現距3個月低點漲幅","半年最高股價(元)","現距半年高點跌幅","半年最低股價(元)","現距半年低點漲幅","1年最高股價(元)","現距1年高點跌幅","1年最低股價(元)","現距1年低點漲幅"
="1473","台南","33.8","34.25","33.45","+0.35","+1.05","05/02","35.5","-4.79","26.8","+26.1","35.5","-4.79","26.8","+26.1","35.5","-4.79","22.5","+50.2"
="1474","弘裕","14.05","14.2","13.9","+0.2","+1.44","05/02","14.35","-2.09","11.3","+24.3","14.35","-2.09","11.1","+26.6","14.35","-2.09","11.05","+27.1"
="1475","業旺","55.3","55.3","54.4","+0.5","+0.91","05/02","55.5","-0.36","45.8","+20.7","55.5","-0.36","35.05","+57.8","61","-9.34","35.05","+57.8"
="1476","儒鴻","495","512","494","-20","-3.88","05/02","580","-14.7","485","+2.06","598","-17.2","485","+2.06","598","-17.2","458.5","+7.96"
="1477","聚陽","394","395","389","+2","+0.51","05/02","412","-4.37","359","+9.75","412","-4.37","333","+18.3","412","-4.37","214","+84.1"
="1503","士電","284.5","293","281.5","-7.5","-2.57","05/02","358","-20.5","122","+133","358","-20.5","94.6","+201","358","-20.5","93.5","+204"
="1504","東元","56.7","58.1","56.2","+1.1","+1.98","05/02","63.3","-10.4","45.5","+24.6","63.3","-10.4","43.2","+31.2","63.5","-10.7","43.2","+31.2"
="1506","正道","16.9","17","16.7","+0.1","+0.6","05/02","17.65","-4.25","15.85","+6.62","18.8","-10.1","15.6","+8.33","20.6","-18","15.2","+11.2"
="1512","瑞利","10.15","10.25","9.68","-0.2","-1.93","05/02","11.95","-15.1","9.66","+5.07","12.95","-21.6","9.66","+5.07","15.4","-34.1","9.66","+5.07"
="1513","中興電","181.5","186.5","181","-2.5","-1.36","05/02","221","-17.9","119","+52.5","221","-17.9","96.9","+87.3","221","-17.9","93","+95.2"
="1514","亞力","150","153.5","146","+4","+2.74","05/02","184","-18.5","75","+100","184","-18.5","51","+194","184","-18.5","46.6","+222"
="1515","力山","50.8","50.9","49.8","+0.3","+0.59","05/02","52.4","-3.05","42.85","+18.6","61.2","-17","38.9","+30.6","61.2","-17","28.85","+76.1"
="1516","川飛","20.4","20.85","19.85","+0.55","+2.77","05/02","21.3","-4.23","16.3","+25.2","21.3","-4.23","16.15","+26.3","22","-7.27","15.95","+27.9"
="1517","利奇","16.3","16.45","16.2","-0.15","-0.91","05/02","19.3","-15.5","15","+8.67","19.3","-15.5","14.25","+14.4","19.5","-16.4","14.15","+15.2"
="1519","華城","802","855","799","-45","-5.31","05/02","988","-18.8","484","+65.7","988","-18.8","225","+256","988","-18.8","94.7","+747"
="1521","大億","38.15","38.15","37.5","-0.15","-0.39","05/02","46","-17.1","36.65","+4.09","50.9","-25","35.2","+8.38","50.9","-25","34","+12.2"
="1522","堤維西","51.7","52.4","49.5","+1.5","+2.99","05/02","61.5","-15.9","39.1","+32.2","61.5","-15.9","36.85","+40.3","61.5","-15.9","27.85","+85.6"
"1522A","堤維西甲特","45.85","45.85","45.85","0","0","05/02","45.85","0","45","+1.89","45.85","0","44.85","+2.23","46.6","-1.61","44.2","+3.73"
="1524","耿鼎","36.5","37.4","33.8","+2.3","+6.73","05/02","38.95","-6.29","30.65","+19.1","39.3","-7.12","27.7","+31.8","39.3","-7.12","20.2","+80.7"
="1525","江申","70.7","70.7","69.9","+0.3","+0.43","05/02","76.3","-7.34","67.8","+4.28","86.3","-18.1","67.8","+4.28","129.5","-45.4","67.8","+4.28"
="1526","日馳","34","34.25","33.9","-0.25","-0.73","05/02","37.6","-9.57","30.75","+10.6","37.6","-9.57","30.3","+12.2","42.1","-19.2","29.3","+16"
="1527","鑽全","41.7","41.85","41.45","+0.05","+0.12","05/02","43.6","-4.36","39.85","+4.64","43.6","-4.36","39","+6.92","43.6","-4.36","38.45","+8.45"
="1528","恩德","12.3","12.35","12.1","+0.1","+0.82","05/02","16.85","-27","11.8","+4.24","16.85","-27","10.85","+13.4","18.7","-34.2","10.7","+15"
="1529","樂事綠能","34","34.45","34","-0.15","-0.44","05/02","40","-15","30.6","+11.1","40","-15","28.6","+18.9","49.3","-31","28.6","+18.9"
="1530","亞崴","32.25","32.45","32.05","-0.2","-0.62","05/02","33.95","-5.01","31.5","+2.38","35","-7.86","29.6","+8.95","35","-7.86","29.5","+9.32"
="1531","高林股","13.5","13.5","13.35","+0.05","+0.37","05/02","13.9","-2.88","13","+3.85","13.95","-3.23","12.95","+4.25","15","-10","12.95","+4.25"
="1532","勤美","52.2","52.2","47.5","+4.7","+9.89","05/02","52.2","0","35.6","+46.6","52.2","0","35.5","+47","52.2","0","33.15","+57.5"
="1533","車王電","48.3","51.8","48.3","-1.9","-3.78","05/02","54.6","-11.5","43.6","+10.8","59.7","-19.1","43.6","+10.8","71.3","-32.3","43.6","+10.8"
="1535","中宇","76.9","77.4","76.5","-0.1","-0.13","05/02","97.5","-21.1","57.9","+32.8","97.5","-21.1","51.6","+49","97.5","-21.1","50.9","+51.1"
="1536","和大","54.8","55.2","53.8","+0.3","+0.55","05/02","58.7","-6.64","50","+9.6","64.9","-15.6","50","+9.6","75.9","-27.8","50","+9.6"
="1537","廣隆","138","138","137.5","0","0","05/02","141","-2.13","130","+6.15","141","-2.13","130","+6.15","150","-8","129.5","+6.56"
="1538","正峰","16","16.55","15.25","+0.75","+4.92","05/02","25.5","-37.3","14.8","+8.11","25.5","-37.3","11.25","+42.2","25.5","-37.3","8.5","+88.2"
="1539","巨庭","24.85","24.95","24.65","+0.05","+0.2","05/02","27.15","-8.47","23.35","+6.42","27.15","-8.47","21.75","+14.3","30.75","-19.2","21.75","+14.3"
="1540","喬福","21","21.15","20.4","+0.6","+2.94","05/02","21.15","-0.71","17.45","+20.3","21.15","-0.71","16.5","+27.3","21.15","-0.71","16.2","+29.6"
="1541","錩泰","33.25","33.45","33.2","-0.05","-0.15","05/02","33.9","-1.92","30.7","+8.31","36","-7.64","29.8","+11.6","40.7","-18.3","29.15","+14.1"
="1558","伸興","99.1","99.1","98.8","+0.1","+0.1","05/02","103.5","-4.25","96.9","+2.27","111","-10.7","96.9","+2.27","115","-13.8","94.7","+4.65"
="1560","中砂","250","254.5","248","-5","-1.96","05/02","295","-15.3","217","+15.2","295","-15.3","164.5","+52","295","-15.3","107.5","+133"
="1568","倉佑","29.4","29.55","28.7","+0.5","+1.73","05/02","35.3","-16.7","27.65","+6.33","39.4","-25.4","27.65","+6.33","39.85","-26.2","22.95","+28.1"
="1582","信錦","94.4","96","91.2","+2","+2.16","05/02","96","-1.67","74.8","+26.2","98.5","-4.16","67.9","+39","98.5","-4.16","56.7","+66.5"
="1583","程泰","74","74.3","72.6","+0.3","+0.41","05/02","79.8","-7.27","66.3","+11.6","79.8","-7.27","62.5","+18.4","79.8","-7.27","61.3","+20.7"
="1587","吉茂","60.2","61.4","58.1","-1.3","-2.11","05/02","66.9","-10","23.2","+159","66.9","-10","22.1","+172","66.9","-10","21.6","+179"
="1589","永冠-KY","47.75","47.8","47.2","-0.05","-0.1","05/02","65.1","-26.7","47.2","+1.17","65.1","-26.7","47.2","+1.17","87.2","-45.2","47.2","+1.17"
="1590","亞德客-KY","1115","1165","1110","-45","-3.88","05/02","1290","-13.6","965","+15.5","1290","-13.6","932","+19.6","1290","-13.6","860","+29.7"
="1597","直得","68.2","68.9","67.1","0","0","05/02","83.9","-18.7","62","+10","83.9","-18.7","61.1","+11.6","83.9","-18.7","61.1","+11.6"
="1598","岱宇","31.15","31.3","30.85","+0.35","+1.14","05/02","33.45","-6.88","29.8","+4.53","39","-20.1","29.8","+4.53","42.8","-27.2","29.8","+4.53"
="1603","華電","43.9","45.2","43.9","-0.25","-0.57","05/02","56.4","-22.2","35.1","+25.1","56.4","-22.2","33.1","+32.6","56.4","-22.2","26.2","+67.6"
="1604","聲寶","29.15","29.2","28.9","+0.15","+0.52","05/02","30.35","-3.95","28.15","+3.55","30.35","-3.95","28","+4.11","33","-11.7","26.1","+11.7"
="1605","華新","36.95","37.2","36.95","+0.05","+0.14","05/02","42","-12","34.55","+6.95","42","-12","34.55","+6.95","51.3","-28","33.8","+9.32"
="1608","華榮","36.55","37.3","36","+0.5","+1.39","05/02","47.45","-23","20.15","+81.4","47.45","-23","18.75","+94.9","47.45","-23","16","+128"
="1609","大亞","56.3","59.3","56","-0.6","-1.05","05/02","68","-17.2","34.3","+64.1","68","-17.2","31.95","+76.2","68","-17.2","28.4","+98.2"
="1611","中電","17.2","17.3","17.15","+0.05","+0.29","05/02","19.4","-11.3","15.85","+8.52","19.4","-11.3","15.7","+9.55","21","-18.1","15.2","+13.2"
="1612","宏泰","36.8","37.6","36.55","+0.1","+0.27","05/02","45.4","-18.9","25.6","+43.7","45.4","-18.9","24","+53.3","45.4","-18.9","20.5","+79.5"
="1614","三洋電","42.8","42.8","40.95","+1.8","+4.39","05/02","42.8","0","37.75","+13.4","42.8","0","37.5","+14.1","42.8","0","36.1","+18.6"
="1615","大山","59.5","60.1","58.5","+1.5","+2.59","05/02","69.1","-13.9","47.2","+26.1","69.1","-13.9","37.3","+59.5","69.1","-13.9","35.2","+69"
="1616","億泰","25.2","26.6","25.2","-1","-3.82","05/02","30.75","-18","13.8","+82.6","30.75","-18","10.2","+147","30.75","-18","9.11","+177"
="1617","榮星","24.35","25.2","24.3","-0.55","-2.21","05/02","32.8","-25.8","16.1","+51.2","32.8","-25.8","15.85","+53.6","32.8","-25.8","15","+62.3"
="1618","合機","51.1","55.5","51","-2.1","-3.95","05/02","69.8","-26.8","29.8","+71.5","69.8","-26.8","24.9","+105","69.8","-26.8","18.45","+177"
="1626","艾美特-KY","16.1","16.1","16","+0.05","+0.31","05/02","16.75","-3.88","15.8","+1.9","16.95","-5.01","15.8","+1.9","21.45","-24.9","15.8","+1.9"
="1701","中化","22.1","22.3","22","+0.15","+0.68","05/02","24.6","-10.2","21.2","+4.25","26.4","-16.3","21.2","+4.25","27.85","-20.6","21.2","+4.25"
="1702","南僑","61.3","61.4","60.5","+0.5","+0.82","05/02","62.3","-1.61","51.1","+20","62.3","-1.61","48.4","+26.7","62.3","-1.61","46.45","+32"
="1707","葡萄王","157","158","156","+0.5","+0.32","05/02","163","-3.68","151.5","+3.63","163","-3.68","149","+5.37","189","-16.9","147.5","+6.44"
="1708","東鹼","31.85","31.95","31.6","+0.15","+0.47","05/02","32.65","-2.45","30","+6.17","35.45","-10.2","30","+6.17","41.5","-23.3","29.35","+8.52"
="1709","和益","19.5","19.55","19.4","-0.05","-0.26","05/02","21.3","-8.45","19.05","+2.36","21.35","-8.67","19.05","+2.36","27.25","-28.4","19.05","+2.36"
="1710","東聯","17.6","17.6","17.35","+0.25","+1.44","05/02","20.25","-13.1","16.8","+4.76","20.6","-14.6","16.8","+4.76","23.85","-26.2","16.8","+4.76"
="1711","永光","20.3","20.4","20.15","0","0","05/02","23.8","-14.7","18.5","+9.73","23.8","-14.7","18.35","+10.6","23.8","-14.7","18.35","+10.6"
="1712","興農","41.4","41.6","40.7","+0.8","+1.97","05/02","42.5","-2.59","37.5","+10.4","42.5","-2.59","36.25","+14.2","42.5","-2.59","34.8","+19"
="1713","國化","48","48.7","47.85","-0.1","-0.21","05/02","53","-9.43","40.45","+18.7","53","-9.43","37.75","+27.2","53","-9.43","29.3","+63.8"
="1714","和桐","9.03","9.06","8.96","+0.07","+0.78","05/02","9.2","-1.85","8.6","+5","9.46","-4.55","8.43","+7.12","9.52","-5.15","8.22","+9.85"
="1717","長興","31.9","31.95","31.5","+0.2","+0.63","05/02","33.9","-5.9","28.4","+12.3","33.9","-5.9","27.5","+16","34.5","-7.54","27.5","+16"
="1718","中纖","7.81","7.9","7.65","+0.15","+1.96","05/02","8","-2.38","7.15","+9.23","8.51","-8.23","7.15","+9.23","8.51","-8.23","7.15","+9.23"
="1720","生達","63.2","63.3","62.8","0","0","05/02","69","-8.41","60.5","+4.46","70.4","-10.2","59.4","+6.4","79.6","-20.6","58.1","+8.78"
="1721","三晃","14.45","14.7","14.25","+0.2","+1.4","05/02","17.65","-18.1","13.7","+5.47","19.5","-25.9","13.7","+5.47","19.5","-25.9","12.9","+12"
="1722","台肥","67","68.2","65.5","+1.6","+2.45","05/02","68.4","-2.05","61.6","+8.77","70.5","-4.96","60.2","+11.3","70.5","-4.96","58.1","+15.3"
="1723","中碳","112.5","113","112","-0.5","-0.44","05/02","128.5","-12.5","110","+2.27","128.5","-12.5","110","+2.27","133.5","-15.7","107","+5.14"
="1725","元禎","44.3","49","44.3","-4.9","-9.96","05/02","51.3","-13.6","20.65","+115","51.3","-13.6","20.25","+119","51.3","-13.6","19.7","+125"
="1726","永記","79","79","78.9","0","0","05/02","81","-2.47","74.8","+5.61","81","-2.47","73","+8.22","81","-2.47","72.2","+9.42"
="1727","中華化","30.15","30.35","29.85","+0.3","+1.01","05/02","34.5","-12.6","26.15","+15.3","34.5","-12.6","26.15","+15.3","45.7","-34","26.15","+15.3"
="1730","花仙子","56.5","56.5","56.2","+0.2","+0.36","05/02","57.2","-1.22","55.5","+1.8","59","-4.24","55.5","+1.8","60.9","-7.22","55.5","+1.8"
="1731","美吾華","25.9","26.1","25.45","+0.15","+0.58","05/02","28.35","-8.64","22.3","+16.1","28.35","-8.64","21.2","+22.2","28.35","-8.64","20.3","+27.6"
="1732","毛寶","27.7","28","27.6","0","0","05/02","32.8","-15.5","26.15","+5.93","38.75","-28.5","22.8","+21.5","38.75","-28.5","22.75","+21.8"
="1733","五鼎","34.35","34.5","33.85","+0.7","+2.08","05/02","37.8","-9.13","30.8","+11.5","44.45","-22.7","26.75","+28.4","44.45","-22.7","25.6","+34.2"
="1734","杏輝","37.2","37.3","36.7","+0.2","+0.54","05/02","38.15","-2.49","32.15","+15.7","38.15","-2.49","32.1","+15.9","41.1","-9.49","31.1","+19.6"
="1735","日勝化","17.3","17.4","17.2","-0.1","-0.57","05/02","18.75","-7.73","16.65","+3.9","18.75","-7.73","16.45","+5.17","18.75","-7.73","15.65","+10.5"
="1736","喬山","85.3","86","83.3","+1.9","+2.28","05/02","86","-0.81","63.1","+35.2","86","-0.81","63.1","+35.2","86","-0.81","56.1","+52"
="1737","臺鹽","34.25","34.3","33.95","+0.15","+0.44","05/02","35.75","-4.2","33.5","+2.24","36.35","-5.78","33.35","+2.7","40.5","-15.4","32.8","+4.42"
="1752","南光","45","45.3","44.75","-0.3","-0.66","05/02","50.7","-11.2","43.85","+2.62","61.9","-27.3","43.85","+2.62","82.8","-45.7","43.85","+2.62"
="1760","寶齡富錦","97.4","97.5","96.2","+1.3","+1.35","05/02","115","-15.3","94.8","+2.74","125.5","-22.4","94.8","+2.74","170","-42.7","90.3","+7.86"
="1762","中化生","46.3","46.6","45.95","+0.15","+0.33","05/02","51.5","-10.1","43.6","+6.19","63.1","-26.6","43.6","+6.19","102.5","-54.8","43.6","+6.19"
="1773","勝一","170","173","169.5","-4","-2.3","05/02","197.5","-13.9","133","+27.8","197.5","-13.9","125","+36","197.5","-13.9","121","+40.5"
="1776","展宇","17.55","17.7","17.45","-0.15","-0.85","05/02","19.65","-10.7","16.45","+6.69","19.65","-10.7","16.3","+7.67","23.3","-24.7","16.05","+9.35"
="1783","和康生","43","43.3","42.75","+0.1","+0.23","05/02","48.8","-11.9","41.8","+2.87","50.4","-14.7","41.8","+2.87","75","-42.7","41.8","+2.87"
="1786","科妍","106","107","104.5","-1","-0.93","05/02","119","-10.9","74.5","+42.3","119","-10.9","73.2","+44.8","119","-10.9","67.1","+58"
="1789","神隆","28.65","29","28.55","-0.05","-0.17","05/02","29.3","-2.22","24.3","+17.9","29.3","-2.22","24.3","+17.9","35.8","-20","24.3","+17.9"
="1795","美時","317","328","316","-6","-1.86","05/02","347","-8.65","262.5","+20.8","347","-8.65","229","+38.4","349.5","-9.3","205","+54.6"
="1802","台玻","17.15","17.2","17.05","0","0","05/02","18.85","-9.02","16.4","+4.57","19.55","-12.3","16.4","+4.57","23.25","-26.2","16.4","+4.57"
="1805","寶徠","21.1","21.5","20.5","+0.5","+2.43","05/02","21.9","-3.65","16","+31.9","21.9","-3.65","11.5","+83.5","21.9","-3.65","8.8","+140"
="1806","冠軍","11.4","11.9","11.05","+0.25","+2.24","05/02","13.8","-17.4","8.6","+32.6","13.8","-17.4","8.6","+32.6","13.8","-17.4","8.6","+32.6"
="1808","潤隆","116.5","119","115","+2.5","+2.19","05/02","139","-16.2","94.1","+23.8","139","-16.2","90.3","+29","139","-16.2","72.4","+60.9"
="1809","中釉","25.9","26.75","25.65","+0.3","+1.17","05/02","36.2","-28.5","17.3","+49.7","36.2","-28.5","14.1","+83.7","36.2","-28.5","13.65","+89.7"
="1810","和成","19.5","19.5","19.1","+0.05","+0.26","05/02","22.95","-15","16","+21.9","22.95","-15","16","+21.9","28.25","-31","16","+21.9"
="1817","凱撒衛","39.05","39.9","38","+1.25","+3.31","05/02","39.9","-2.13","36.3","+7.58","39.9","-2.13","35","+11.6","39.9","-2.13","34.75","+12.4"
="1903","士紙","68.2","70.9","65.5","+2.6","+3.96","05/02","70.9","-3.81","52.5","+29.9","70.9","-3.81","51.9","+31.4","75","-9.07","42.6","+60.1"
="1904","正隆","29.3","29.35","29.1","+0.1","+0.34","05/02","29.75","-1.51","28.1","+4.27","30.95","-5.33","28.1","+4.27","36.2","-19.1","27.2","+7.72"
="1905","華紙","23.85","24.6","23.05","+0.7","+3.02","05/02","25","-4.6","21.85","+9.15","25.55","-6.65","20.4","+16.9","33.9","-29.6","20.4","+16.9"
="1906","寶隆","15.95","16","15.9","+0.05","+0.31","05/02","16.2","-1.54","14.9","+7.05","16.2","-1.54","14.9","+7.05","16.75","-4.78","14.55","+9.62"
="1907","永豐餘","31.45","31.7","31.05","+0.4","+1.29","05/02","32.1","-2.02","29.15","+7.89","35.55","-11.5","28.8","+9.2","40.95","-23.2","28.8","+9.2"
="1909","榮成","15.95","16.05","15.4","+0.35","+2.24","05/02","16.05","-0.62","13.7","+16.4","16.05","-0.62","13.65","+16.8","17.6","-9.38","13.65","+16.8"
="2002","中鋼","24.95","25","24.8","+0.1","+0.4","05/02","26.25","-4.95","23.5","+6.17","27.1","-7.93","23.5","+6.17","30.05","-17","23.5","+6.17"
"2002A","中鋼特","43.3","43.3","43.25","+0.05","+0.12","05/02","43.9","-1.37","43","+0.7","44","-1.59","43","+0.7","45.95","-5.77","43","+0.7"
="2006","東和鋼鐵","72.8","73.3","72.2","-0.5","-0.68","05/02","78.8","-7.61","68.2","+6.74","78.8","-7.61","63.4","+14.8","78.8","-7.61","55","+32.4"
="2007","燁興","11.75","11.8","11.6","+0.05","+0.43","05/02","12.65","-7.11","10","+17.5","13.8","-14.9","9.31","+26.2","13.8","-14.9","9.16","+28.3"
="2008","高興昌","23.75","24.15","23.4","+0.35","+1.5","05/02","24.25","-2.06","21.6","+9.95","25.2","-5.75","20.35","+16.7","25.2","-5.75","19.15","+24"
="2009","第一銅","47.75","48.9","47.55","-1.55","-3.14","05/02","56.3","-15.2","30.2","+58.1","56.3","-15.2","28.35","+68.4","56.3","-15.2","27.55","+73.3"
="2010","春源","22.75","22.75","22.1","+0.2","+0.89","05/02","22.75","0","17.2","+32.3","22.75","0","16.2","+40.4","22.75","0","15.85","+43.5"
="2012","春雨","24.2","24.2","24.1","+0.05","+0.21","05/02","25.45","-4.91","22.6","+7.08","26.15","-7.46","21.9","+10.5","28.8","-16","21.85","+10.8"
="2013","中鋼構","61.6","61.8","61.3","-0.2","-0.32","05/02","68.5","-10.1","52","+18.5","68.5","-10.1","51.9","+18.7","68.5","-10.1","50.7","+21.5"
="2014","中鴻","23.45","23.5","23.05","+0.2","+0.86","05/02","25.45","-7.86","21.75","+7.82","29.45","-20.4","20.95","+11.9","29.45","-20.4","20.3","+15.5"
="2015","豐興","70.7","71.1","70.5","+0.3","+0.43","05/02","75.1","-5.86","66.4","+6.48","75.1","-5.86","62.9","+12.4","75.1","-5.86","61.8","+14.4"
="2017","官田鋼","15.25","15.55","15.15","0","0","05/02","15.75","-3.17","13.7","+11.3","16.1","-5.28","13","+17.3","18.2","-16.2","13","+17.3"
="2020","美亞","39.85","39.9","39.35","+0.15","+0.38","05/02","40.5","-1.6","31.85","+25.1","40.5","-1.6","28.4","+40.3","40.5","-1.6","22.9","+74"
="2022","聚亨","12.25","12.3","12.15","0","0","05/02","13.2","-7.2","10","+22.5","14.3","-14.3","10","+22.5","14.45","-15.2","8.48","+44.5"
="2023","燁輝","15.55","15.7","15.4","+0.15","+0.97","05/02","16.8","-7.44","14.85","+4.71","19.95","-22.1","14.85","+4.71","19.95","-22.1","14.4","+7.99"
="2024","志聯","21.85","21.85","21.65","0","0","05/02","23.55","-7.22","20.5","+6.59","23.55","-7.22","19.15","+14.1","23.55","-7.22","15.1","+44.7"
="2025","千興","11.05","11.2","10.9","+0.1","+0.91","05/02","13.95","-20.8","7.81","+41.5","13.95","-20.8","6.91","+59.9","13.95","-20.8","5","+121"
="2027","大成鋼","37.6","37.65","36.7","+0.8","+2.17","05/02","38.95","-3.47","35.3","+6.52","41","-8.29","35.3","+6.52","49.95","-24.7","35.3","+6.52"
="2028","威致","26.65","26.85","26.5","+0.05","+0.19","05/02","30.3","-12","24.2","+10.1","30.3","-12","22.5","+18.4","30.3","-12","21.85","+22"
="2029","盛餘","29.55","29.6","29.25","+0.3","+1.03","05/02","31","-4.68","27.05","+9.24","32.15","-8.09","23.9","+23.6","32.15","-8.09","22.55","+31"
="2030","彰源","19.05","19.15","19","0","0","05/02","19.7","-3.3","17.8","+7.02","21.6","-11.8","17.45","+9.17","23.5","-18.9","17","+12.1"
="2031","新光鋼","61","61.5","58.7","+2.2","+3.74","05/02","68.5","-10.9","56.3","+8.35","68.5","-10.9","46.3","+31.7","68.5","-10.9","42.5","+43.5"
="2032","新鋼","17.75","17.85","17.3","+0.15","+0.85","05/02","19.4","-8.51","15.45","+14.9","20.1","-11.7","15.3","+16","20.1","-11.7","15.1","+17.5"
="2033","佳大","16.65","16.8","16.5","-0.05","-0.3","05/02","19.05","-12.6","15.4","+8.12","20.8","-20","14.25","+16.8","20.8","-20","13.85","+20.2"
="2034","允強","25.4","25.45","25.2","0","0","05/02","26.35","-3.61","24.5","+3.67","27.9","-8.96","24.5","+3.67","29.9","-15.1","24.5","+3.67"
="2038","海光","20.7","20.95","20.3","+0.2","+0.98","05/02","23.3","-11.2","18","+15","23.95","-13.6","16.85","+22.8","23.95","-13.6","16.7","+24"
="2049","上銀","229.5","232","227","-2","-0.86","05/02","293","-21.7","215.5","+6.5","293","-21.7","197.5","+16.2","293","-21.7","187.5","+22.4"
="2059","川湖","1200","1235","1190","-30","-2.44","05/02","1475","-18.6","994","+20.7","1475","-18.6","707","+69.7","1475","-18.6","395","+204"
="2062","橋椿","30","30.15","29.25","+0.75","+2.56","05/02","31.45","-4.61","24.5","+22.4","31.45","-4.61","22.55","+33","31.45","-4.61","21.05","+42.5"
="2069","運錩","16.55","16.6","16.5","+0.05","+0.3","05/02","17.55","-5.7","15.7","+5.41","18.8","-12","15.65","+5.75","20.5","-19.3","15.15","+9.24"
="2101","南港","59.5","60.1","58.9","+0.7","+1.19","05/02","62.9","-5.41","38.55","+54.3","62.9","-5.41","36.5","+63","62.9","-5.41","36.2","+64.4"
="2102","泰豐","20.15","20.55","19.65","+0.5","+2.54","05/02","20.95","-3.82","17.2","+17.2","21.45","-6.06","17.2","+17.2","21.45","-6.06","16.95","+18.9"
="2103","台橡","24.7","24.7","23.9","+0.6","+2.49","05/02","25.5","-3.14","22.1","+11.8","25.5","-3.14","22.05","+12","27.6","-10.5","22.05","+12"
="2104","國際中橡","17.85","17.95","17.7","-0.1","-0.56","05/02","18.8","-5.05","16.75","+6.57","20.05","-11","16.75","+6.57","24.25","-26.4","16.75","+6.57"
="2105","正新","46.9","47.55","46.75","-0.25","-0.53","05/02","50.5","-7.13","44.8","+4.69","50.5","-7.13","42.2","+11.1","50.5","-7.13","36.8","+27.4"
="2106","建大","33.75","33.8","33.25","+0.5","+1.5","05/02","34.35","-1.75","29.7","+13.6","34.35","-1.75","29.2","+15.6","34.35","-1.75","28.75","+17.4"
="2107","厚生","27.4","27.7","26.7","+0.7","+2.62","05/02","27.7","-1.08","23.6","+16.1","27.7","-1.08","23.15","+18.4","27.7","-1.08","20.35","+34.6"
="2108","南帝","33.9","33.95","33.6","+0.55","+1.65","05/02","36.8","-7.88","32.2","+5.28","39.4","-14","32.2","+5.28","39.95","-15.1","32.2","+5.28"
="2109","華豐","17","17.05","16.85","+0.05","+0.29","05/02","18.1","-6.08","14.35","+18.5","18.1","-6.08","13.8","+23.2","18.1","-6.08","13.7","+24.1"
="2114","鑫永銓","106.5","106.5","106","0","0","05/02","113.5","-6.17","104","+2.4","113.5","-6.17","103.5","+2.9","118.5","-10.1","99","+7.58"
="2115","六暉-KY","32.15","32.3","31.7","+0.2","+0.63","05/02","32.3","-0.46","28.55","+12.6","32.3","-0.46","28.55","+12.6","35.7","-9.94","28.55","+12.6"
="2201","裕隆","70.5","71.7","68.6","+1.8","+2.62","05/02","72.6","-2.89","66.1","+6.66","80.5","-12.4","66.1","+6.66","94.5","-25.4","66.1","+6.66"
="2204","中華","146.5","148","141.5","+3","+2.09","05/02","150","-2.33","111","+32","150","-2.33","91.6","+59.9","150","-2.33","75.3","+94.6"
="2206","三陽工業","87.6","89.6","83.9","+3.2","+3.79","05/02","89.6","-2.23","70.8","+23.7","89.6","-2.23","68.3","+28.3","99.3","-11.8","57","+53.7"
="2207","和泰車","620","624","616","0","0","05/02","676","-8.28","585","+5.98","721","-14","585","+5.98","885","-29.9","585","+5.98"
="2208","台船","18.1","18.3","18.05","-0.1","-0.55","05/02","20","-9.5","17.5","+3.43","22.5","-19.6","17.5","+3.43","25.9","-30.1","17.5","+3.43"
="2211","長榮鋼","147.5","152.5","147.5","-1","-0.67","05/02","152.5","-3.28","102","+44.6","152.5","-3.28","71.7","+106","152.5","-3.28","55.9","+164"
="2227","裕日車","134","134","131","+3","+2.29","05/02","174","-23","121.5","+10.3","192","-30.2","121.5","+10.3","207","-35.3","121.5","+10.3"
="2228","劍麟","96.9","97.3","96.2","-1.2","-1.22","05/02","105","-7.71","86.9","+11.5","105","-7.71","85.5","+13.3","110","-11.9","80.6","+20.2"
="2231","為升","111.5","112","110","-0.5","-0.45","05/02","133.5","-16.5","106","+5.19","142.5","-21.8","106","+5.19","181.5","-38.6","106","+5.19"
="2233","宇隆","131","132","130.5","-0.5","-0.38","05/02","148","-11.5","123.5","+6.07","154","-14.9","123.5","+6.07","154","-14.9","98.6","+32.9"
="2236","百達-KY","73","73.6","71.7","-0.3","-0.41","05/02","87.8","-16.9","64.9","+12.5","87.8","-16.9","61.1","+19.5","87.8","-16.9","36","+103"
="2239","英利-KY","58.7","59","58.1","+0.8","+1.38","05/02","60.2","-2.49","54.5","+7.71","67.9","-13.5","54.5","+7.71","85.3","-31.2","54.5","+7.71"
="2241","艾姆勒","45.85","47.4","45.3","-0.8","-1.71","05/02","51","-10.1","30.15","+52.1","51","-10.1","29.4","+56","51","-10.1","29.4","+56"
="2243","宏旭-KY","14","14","13.5","0","0","05/02","19.95","-29.8","13.5","+3.7","21.5","-34.9","13.5","+3.7","21.5","-34.9","13.4","+4.48"
="2247","汎德永業","333","335.5","328.5","+2","+0.6","05/02","335.5","-0.75","292","+14","335.5","-0.75","291","+14.4","359","-7.24","280","+18.9"
="2250","IKKA-KY","100.5","102","100","-1","-0.99","05/02","122","-17.6","81.4","+23.5","122","-17.6","67.4","+49.1","122","-17.6","65.1","+54.4"
