"代號","名稱","成交","最高","最低","漲跌價","漲跌幅","更新日期","3個月最高股價(元)","現距3個月高點跌幅","3個月最低股價(元)","現距3個月低點漲幅","半年最高股價(元)","現距半年高點跌幅","半年最低股價(元)","現距半年低點漲幅","1年最高股價(元)","現距1年高點跌幅","1年最低股價(元)","現距1年低點漲幅"
="1410","南染","38","38.1","36.95","+0.6","+1.6","05/02","39","-2.56","34.6","+9.83","39.85","-4.64","34.6","+9.83","42.5","-10.6","34.6","+9.83"
="1413","宏洲","11.85","11.85","10.8","+1.05","+9.72","05/02","11.85","0","8.63","+37.3","11.85","0","8.02","+47.8","11.85","0","7.96","+48.9"
="1414","東和","20.35","20.9","20.35","-0.2","-0.97","05/02","21.6","-5.79","17.5","+16.3","21.6","-5.79","17.35","+17.3","21.6","-5.79","16.3","+24.8"
="1416","廣豐","13.55","13.8","13.4","+0.15","+1.12","05/02","14.1","-3.9","11.6","+16.8","14.1","-3.9","10.4","+30.3","14.1","-3.9","10.05","+34.8"
="1417","嘉裕","11.7","11.7","11.35","+0.3","+2.63","05/02","12.15","-3.7","10.95","+6.85","12.9","-9.3","10.95","+6.85","14.6","-19.9","10.95","+6.85"
="1418","東華","32.5","32.65","32.35","-0.35","-1.07","05/02","35.9","-9.47","27.2","+19.5","35.9","-9.47","19.95","+62.9","35.9","-9.47","14.8","+120"
="1419","新紡","51.8","52.3","49.65","+1.7","+3.39","05/02","55.3","-6.33","44.5","+16.4","55.3","-6.33","43.65","+18.7","55.3","-6.33","40.3","+28.5"
="1423","利華","31.5","31.5","31.35","+0.1","+0.32","05/02","32","-1.56","30.55","+3.11","32","-1.56","29.65","+6.24","32","-1.56","21.35","+47.5"
="1432","大魯閣","18.4","18.45","18","+0.2","+1.1","05/02","25","-26.4","17.1","+7.6","25","-26.4","15.9","+15.7","25","-26.4","14.95","+23.1"
="1434","福懋","22.85","22.95","22.75","0","0","05/02","24.25","-5.77","22","+3.86","25.75","-11.3","22","+3.86","28.35","-19.4","22","+3.86"
="1435","中福","47","47","47","0","0","05/02","54.5","-13.8","43.2","+8.8","62.5","-24.8","32.25","+45.7","62.5","-24.8","25.5","+84.3"
="1436","華友聯","148","149","143.5","+2.5","+1.72","05/02","149","-0.67","83.7","+76.8","149","-0.67","71.7","+106","149","-0.67","56.7","+161"
="1437","勤益控","33.6","33.75","33.2","+0.35","+1.05","05/02","33.75","-0.44","30.5","+10.2","33.75","-0.44","29.45","+14.1","33.75","-0.44","27.35","+22.9"
="1438","三地開發","56.3","57.4","55.2","+0.7","+1.26","05/02","58.5","-3.76","41.6","+35.3","58.5","-3.76","29.35","+91.8","58.5","-3.76","28.8","+95.5"
="1439","雋揚","29.5","29.5","28.4","+1.05","+3.69","05/02","29.9","-1.34","24.2","+21.9","29.9","-1.34","22.05","+33.8","29.9","-1.34","21.7","+35.9"
="1440","南紡","20","20.5","19.7","+0.3","+1.52","05/02","20.65","-3.15","14.8","+35.1","20.65","-3.15","14.3","+39.9","20.65","-3.15","13.65","+46.5"
="1441","大東","13.4","13.4","13.25","+0.15","+1.13","05/02","14.65","-8.53","12.9","+3.88","15.4","-13","12.85","+4.28","15.4","-13","7.55","+77.5"
="1442","名軒","58.6","59.9","57.6","+0.7","+1.21","05/02","59.9","-2.17","36.1","+62.3","59.9","-2.17","36","+62.8","59.9","-2.17","31.05","+88.7"
="1443","立益物流","32.15","32.2","32","+0.1","+0.31","05/02","34.75","-7.48","28.1","+14.4","34.75","-7.48","27.55","+16.7","34.75","-7.48","27.55","+16.7"
="1444","力麗","9.79","9.8","9.53","+0.25","+2.62","05/02","10.5","-6.76","8.96","+9.26","10.8","-9.35","8.96","+9.26","11.55","-15.2","8.96","+9.26"
="1445","大宇","24.15","24.55","23.7","-0.15","-0.62","05/02","27.95","-13.6","20.55","+17.5","27.95","-13.6","18.85","+28.1","27.95","-13.6","18.1","+33.4"
="1446","宏和","43.75","43.75","39.8","+3.95","+9.92","05/02","43.75","0","33","+32.6","43.75","0","33","+32.6","43.75","0","29.9","+46.3"
="1447","力鵬","8.28","8.3","8.1","+0.18","+2.22","05/02","8.99","-7.9","7.64","+8.38","8.99","-7.9","7.5","+10.4","8.99","-7.9","7.3","+13.4"
="1449","佳和","17.85","17.95","17.6","0","0","05/02","22.9","-22.1","17.6","+1.42","25.45","-29.9","16","+11.6","25.45","-29.9","13.55","+31.7"
="1451","年興","20.85","20.9","20.65","+0.1","+0.48","05/02","20.95","-0.48","18.7","+11.5","20.95","-0.48","17.65","+18.1","23.55","-11.5","17.65","+18.1"
="1452","宏益","17.5","17.55","17.2","+0.3","+1.74","05/02","17.55","-0.28","16.2","+8.02","17.65","-0.85","16.2","+8.02","17.85","-1.96","16.1","+8.7"
="1453","大將","25.05","25.05","22.25","+2.25","+9.87","05/02","25.75","-2.72","14.1","+77.7","25.75","-2.72","13.9","+80.2","25.75","-2.72","12.8","+95.7"
="1454","台富","16","16.05","15.85","-0.05","-0.31","05/02","17.9","-10.6","14.8","+8.11","17.9","-10.6","14.8","+8.11","19.65","-18.6","13.35","+19.9"
="1455","集盛","14.45","15.05","14.2","-0.45","-3.02","05/02","15.8","-8.54","10","+44.5","15.8","-8.54","10","+44.5","15.8","-8.54","9.35","+54.5"
="1456","怡華","22.45","22.95","21.65","+0.95","+4.42","05/02","24.95","-10","16.1","+39.4","24.95","-10","15.45","+45.3","24.95","-10","14.85","+51.2"
="1457","宜進","24.8","25.6","24.5","-0.2","-0.8","05/02","26.4","-6.06","18.15","+36.6","26.4","-6.06","17.25","+43.8","26.4","-6.06","17.15","+44.6"
="1459","聯發","12.25","12.65","11.75","+0.05","+0.41","05/02","12.65","-3.16","9.3","+31.7","12.65","-3.16","9.21","+33","12.65","-3.16","8.9","+37.6"
="1460","宏遠","7.95","7.96","7.79","+0.05","+0.63","05/02","8.62","-7.77","7.02","+13.2","8.62","-7.77","7","+13.6","9.73","-18.3","7","+13.6"
